Title,Year,Rating,Votes
The Elephant Man,1980,8.131493389,237361
Finding Nemo,2003,8.1312197,1019409
Raging Bull,1980,8.130218164,346826
Chinatown,1974,8.129251695,320383
Gone with the Wind,1939,8.127297641,310781
V for Vendetta,2005,8.126338705,1100803
Inside Out,2015,8.124891611,689919
The Thing,1982,8.12428391,410544
"Lock, Stock and Two Smoking Barrels",1998,8.123745432,572125
Dial M for Murder,1954,8.119137375,172808
The Secret in Their Eyes,2009,8.11826125,206806
The Bridge on the River Kwai,1957,8.115019528,217622
Howl's Moving Castle,2004,8.114422952,380761
"Three Billboards Outside Ebbing, Missouri",2017,8.111793617,491438
Trainspotting,1996,8.111695933,675130
Gran Torino,2008,8.105676758,763043
Warrior,2011,8.105209833,464341
Fargo,1996,8.103554391,665203
My Neighbor Totoro,1988,8.095611974,328536
Prisoners,2013,8.094448806,682486
Million Dollar Baby,2004,8.090117172,676528
The Gold Rush,1925,8.088012898,109934
Blade Runner,1982,8.087227666,750808
Catch Me If You Can,2002,8.085838022,942026
On the Waterfront,1954,8.085050352,153056
The Third Man,1949,8.082932812,169731
Children of Heaven,1997,8.081514813,73692
Ben-Hur,1959,8.079038735,236119
The General,1926,8.078343289,90121
12 Years a Slave,2013,8.07808175,687315
Wild Strawberries,1957,8.077497308,105920
Gone Girl,2014,8.077412661,954044
Before Sunrise,1995,8.076194032,299416
The Deer Hunter,1978,8.076104961,334219
Harry Potter and the Deathly Hallows: Part 2,2011,8.075612518,848552
In the Name of the Father,1993,8.074646184,172033
The Grand Budapest Hotel,2014,8.072169533,782968
Mr Smith Goes to Washington,1939,8.071664545,114544
The Wages of Fear,1953,8.070819362,60234
Sherlock Jr,1924,8.070154059,48744
Barry Lyndon,1975,8.069014056,164420
Memories of Murder,2003,8.06822282,174281
Room,2015,8.067983445,410475
Hacksaw Ridge,2016,8.066833546,504046
Klaus,2019,8.06626645,142606
The Seventh Seal,1957,8.066199931,182216
Wild Tales,2014,8.064901657,194240
The Big Lebowski,1998,8.06310014,792206
How to Train Your Dragon,2010,8.062135535,721801
Mad Max: Fury Road,2015,8.061635588,971963
Mary and Max,2009,8.060358712,175289
"Monsters, Inc",2001,8.058230073,885481
Jaws,1975,8.057757749,584747
The Passion of Joan of Arc,1928,8.055719857,53750
Pather Panchali,1955,8.053982052,31756
Hotel Rwanda,2004,8.053259679,351590
Tokyo Story,1953,8.052037191,60539
Dead Poets Society,1989,8.051989279,473654
Platoon,1986,8.047713489,407580
Rocky,1976,8.047260974,561323
Ford v Ferrari,2019,8.045463823,369131
Stand by Me,1986,8.042353377,394282
The Terminator,1984,8.041419958,844021
Rush,2013,8.03965822,469687
Spotlight,2015,8.039282667,460326
Into the Wild,2007,8.038017516,613199
Network,1976,8.037364775,157424
The Wizard of Oz,1939,8.036077488,390964
Logan,2017,8.035171072,732457
Groundhog Day,1993,8.032851819,616197
Ratatouille,2007,8.03118161,706341
The Exorcist,1973,8.028524428,393432
Before Sunset,2004,8.028027948,257825
The Best Years of Our Lives,1946,8.025940544,63302
The Incredibles,2004,8.025326933,712688
