Binomial name,Genus,Common name,Diameter (inches),Density
Acer pensylvanicum,Acer,Striped maple,1,2
Acer rubrum,Acer,Red maple,3.1,10
Acer saccharum,Acer,Sugar maple,1.6,60
Betula lenta,Betula,Sweet birch,2.3,6
Betula papyrifera,Betula,Paper birch,6.2,86
Betula populifolia,Betula,Gray Birch,3,1
Castanea dentata,Castanea,American chestnut,1,2
Fraxinus americana,Fraxinus,White ash,2.4,42
Juglans cinerea,Juglans,Butternut,1.5,4
Malus domestica,Malus,Apple,1.3,6
Prunus pensylvanica,Prunus,Fire cherry,7,1
Quercus rubra,Quercus,Northern red oak,2,6
